id,subcategory,service_summary
"246bd6ea-e3e4-4172-ae28-d7b4c62c627e","General Leather and Hide Tanning and Finishing (Service)","General Leather and Hide Tanning and Finishing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"258f4d7f-746f-416b-b617-e1cca25b748f","Bathroom Remodeling","Bathroom Remodeling is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"28249174-ecd5-4640-9a0e-5b232480aa33","General Painting and Wall Covering Contractors (Service)","General Painting and Wall Covering Contractors is a painting and finishing service that helps homeowners, landlords, and businesses refresh and protect surfaces while improving the look of interiors and exteriors. It’s commonly used for interior repainting, exterior refreshes, and surface finishing."
"2950377b-8174-4ccc-9456-378b6ff2ac29","General Paint, Varnish, and Supplies Merchant Wholesalers (Service)","General Paint, Varnish, and Supplies Merchant Wholesalers is a wholesale supply service that helps retailers, contractors, and businesses source the right products reliably and keep projects or shelves stocked. It’s commonly used for materials, inventory, and fulfillment for ongoing needs."
"2a0f62db-fed7-418f-bfb1-8d6abfe81f40","General Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing (Service)","General Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"2cca09a9-1bc3-42a1-9989-429bfeca6e7f","General Finish Carpentry Contractors (Service)","General Finish Carpentry Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"2d00fe74-fec1-40a0-9a1c-4ce022d48d99","Water Features (Service)","Water Features is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"2e13963f-d966-4092-9dd7-3909e402a39f","Custom Metal / Fabrication Visualization (Service)","Custom Metal / Fabrication Visualization is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"2e440227-8832-4c07-b7ff-406c759654cb","Paving (Service)","Paving is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"33091383-90f5-4559-a0c9-0a5588f7b60b","General Siding Contractors (Service)","General Siding Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"3419361a-edc1-4f7b-ab37-363b284af537","General Nonresidential Property Managers (Service)","General Nonresidential Property Managers is a property management service that helps property owners and landlords keep rentals operating smoothly while protecting the property and improving tenant experience. It’s commonly used for tenant support, maintenance coordination, and owner reporting."
"3440f0a3-cd3a-4729-967b-57a4b62433a1","All Ecomm. (Service)","All Ecomm. is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"3489bf2b-be0a-4a77-b2d7-1de772c5903c","General Soil Preparation, Planting, and Cultivating (Service)","General Soil Preparation, Planting, and Cultivating is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"34b16880-1f0e-457c-9103-426cffd7fd89","General Offices of Real Estate Agents and Brokers (Service)","General Offices of Real Estate Agents and Brokers is an insurance service that helps individuals and businesses protect against financial risk by choosing coverage that matches real‑world needs. It’s commonly used for policy selection, renewals, and claims support."
"34c28043-629e-4496-afd6-e452d35912b9","General Paint and Wallpaper Stores (Service)","General Paint and Wallpaper Stores is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"3b8bec72-d446-4a8c-985a-f4142e02c06d","Hair Extensions (Service)","Hair Extensions is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"3b9e98e2-cd16-414c-b4dc-352a9cd0531f","General Architectural Services","General Architectural Services is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"3baa59cc-e7e3-494c-a5f3-6e29965af359","General Other Pressed and Blown Glass and Glassware Manufacturing (Service)","General Other Pressed and Blown Glass and Glassware Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"3d7eafcb-7732-4ca8-92e7-28700f18475f","General Barber Shops","General Barber Shops is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"3e98a578-4174-4659-8e4a-21a008a31499","Solar Panel Design (Service)","Solar Panel Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"3e9ee9ee-519a-420e-81cd-9f514a079656","Makeup (Service)","Makeup is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"3f511733-d683-4ff8-97ef-2c4692e53cdd","Rhinoplasty","Rhinoplasty is a healthcare service that helps patients address a health or cosmetic concern with professional evaluation and treatment. It’s commonly used for consultations, procedures, and ongoing care."
"48bb91b9-97ae-4bdf-836e-04a91c0e79f6","General Other Personal Care Services (Service)","General Other Personal Care Services is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"4b29bdd7-5df0-43db-954a-326a76713aa8","Women's Clothing","Women's Clothing is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"4e7d05e5-51a6-499d-b7fc-0ef1ce8fc798","General Sewing, Needlework, and Piece Goods Stores (Service)","General Sewing, Needlework, and Piece Goods Stores is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"4ed589b1-0bbd-4be4-a75e-4f1820cefaec","General Commercial and Institutional Building Construction (Service)","General Commercial and Institutional Building Construction is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"525cc7d3-eea0-4915-bfc3-873394dee6df","General Men's Clothing Stores","General Men's Clothing Stores is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"5337bba0-0c99-45c3-a04c-6908572c1d94","General Security Guards and Patrol Services","General Security Guards and Patrol Services is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"53bc18eb-b613-4f43-986a-29aa3c951b34","Structural / Modular Design (Service)","Structural / Modular Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"557fd1e8-c876-4c2a-9e01-525b7563c835","Garden Design","Garden Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for patios, decks, courtyards, and other outdoor areas."
"55af08a0-2761-4f3d-b92f-e3bd86a63cbc","General Nursery, Garden Center, and Farm Supply Stores (Service)","General Nursery, Garden Center, and Farm Supply Stores is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for patios, decks, courtyards, and other outdoor areas."
"56bf5ae0-881e-448e-ae22-2b8a0f351411","General Highway, Street, and Bridge Construction (Service)","General Highway, Street, and Bridge Construction is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"57c50554-6682-4120-a2ec-2b59e7b3f8f3","Pool Design","Pool Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"57d0e3ca-86ec-4a9b-872a-a7dff42f5e35","Door & Garage Door Design (Service)","Door & Garage Door Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"585093f0-5e23-402f-98fa-89e13be174ab","Carpeting (Service)","Carpeting is a flooring service that helps homeowners and commercial property operators choose and fit floor surfaces that match durability, comfort, and style goals. It’s commonly used for hardwood, tile, carpet, and resilient flooring projects."
"58c755c9-062b-4add-9bdb-d61519a7a820","General Ready-Mix Concrete Manufacturing (Service)","General Ready-Mix Concrete Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"5a92c0a8-23ad-4d19-9184-40f4a7947355","General Lessors of Residential Buildings and Dwellings","General Lessors of Residential Buildings and Dwellings is a real estate service that helps buyers, sellers, and landlords price, market, and transact property with clearer decisions and better outcomes. It’s commonly used for sales, leasing, and property marketing."
"5d8ee798-f925-494c-adf6-bdf1b5ec1884","Bedroom Furniture","Bedroom Furniture is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"60d99f80-146a-4d4f-80c3-45110b0a665e","General Metal Window and Door Manufacturing (Service)","General Metal Window and Door Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"6308f170-c57b-4851-82ae-dc45d56b9b0b","Recreational Sports Area (Service)","Recreational Sports Area is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"63b0c721-f435-48f8-88dd-fe1d14a388cc","Hair Styling","Hair Styling is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"653e302e-45bb-4127-a220-d058a72e383c","Outdoor Furniture Layout (Service)","Outdoor Furniture Layout is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for patios, decks, courtyards, and other outdoor areas."
"6744be76-e5e8-430f-a8a2-4abb8db4e8d5","General Roofing, Siding, and Insulation Material Merchant Wholesalers (Service)","General Roofing, Siding, and Insulation Material Merchant Wholesalers is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"69a225a9-6652-49cc-a13a-b3e728c5b7d8","General Household Furniture (except Wood and Metal) Manufacturing (Service)","General Household Furniture (except Wood and Metal) Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"6b1b241b-e3f8-4055-bd0b-ab4b46223e85","Shipping Container Design","Shipping Container Design is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"6c7905bc-30cd-4e14-84bc-e4f2514edbc6","Garage (Service)","Garage is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"6d8a4c6d-e0d8-4fe1-8ced-67d5c9bfd097","Walkways (Service)","Walkways is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"6fe76ae4-b4d0-41ac-8cb3-1bead9eda093","General Other Heavy and Civil Engineering Construction (Service)","General Other Heavy and Civil Engineering Construction is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"70d63acc-e841-4842-93f6-3490f15255ff","Flooring (Service)","Flooring is a flooring service that helps homeowners and commercial property operators choose and fit floor surfaces that match durability, comfort, and style goals. It’s commonly used for hardwood, tile, carpet, and resilient flooring projects."
"733b12c4-9037-4af0-a9e0-1ae5c0f8c588","General Offices of Physicians (except Mental Health Specialists)","General Offices of Physicians (except Mental Health Specialists) is a healthcare service that helps patients address a health or cosmetic concern with professional evaluation and treatment. It’s commonly used for consultations, procedures, and ongoing care."
"737dee29-ad13-4d06-afcf-05e789b6582a","Men's Clothing","Men's Clothing is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"7391b78b-4253-44ce-8b92-df0605e2506a","Gazebo / Pergola (Service)","Gazebo / Pergola is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"73db5c6d-d647-4695-bba0-bc1fa4cfbe5f","Fire Pit Designs (Service)","Fire Pit Designs is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"73df45dc-c3e6-4325-b6bf-7ed477262a74","General Masonry Contractors (Service)","General Masonry Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"740cc7f5-f691-4673-8e52-a00a62b97ad3","Fence Design (Service)","Fence Design is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"77f0709d-66eb-4fee-ad58-8a0b390f4b4d","General Travel Trailer and Camper Manufacturing (Service)","General Travel Trailer and Camper Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"7804ae22-5fb9-424f-91b8-c8a0bff48c7d","General Electrical Contractors and Other Wiring Installation Contractors (Service)","General Electrical Contractors and Other Wiring Installation Contractors is an electrical and lighting service that helps homeowners and businesses power spaces safely and support lighting, devices, and modern electrical needs. It’s commonly used for repairs, upgrades, and new electrical work."
"789c7fb3-a90f-47b3-bb20-3b04e8385732","Hair Styling & Color (Service)","Hair Styling & Color is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"78db0880-ee58-459f-9bdf-bd0d2628a789","Attic Conversion","Attic Conversion is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"79d33edd-bc26-4a98-b013-065e2886bf90","Lashes (Service)","Lashes is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"79df0e84-4d63-40ae-ac2e-07f179feeb91","General Prefabricated Metal Building and Component Manufacturing (Service)","General Prefabricated Metal Building and Component Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"7abfaf79-beac-4f2f-8595-fae2e6c27e63","Kitchen","Kitchen is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"7acf9f5d-8b30-4a54-9091-e1f8a8853430","General Lessors of Nonresidential Buildings (except Miniwarehouses)","General Lessors of Nonresidential Buildings (except Miniwarehouses) is a real estate service that helps buyers, sellers, and landlords price, market, and transact property with clearer decisions and better outcomes. It’s commonly used for sales, leasing, and property marketing."
"7b346a77-45ff-47b2-a0e9-cec313702021","New Custom Homes (Service)","New Custom Homes is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"7de5df65-6b12-4a59-9e60-671ab361dfb4","General Automotive Glass Replacement Shops","General Automotive Glass Replacement Shops is an automotive glass service that helps drivers and fleet operators restore visibility and safety by replacing damaged glass and seals. It’s commonly used for windshield replacement and chip/crack repair."
"7f2751cb-43bc-425e-962b-a689361d6732","General Retail Bakeries (Service)","General Retail Bakeries is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"807c6ff9-6b4a-4316-a04e-3af31543bcd9","General Light Truck and Utility Vehicle Manufacturing","General Light Truck and Utility Vehicle Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"81a60496-577a-4f98-8fab-501ab25dccb8","General Nail Salons (Service)","General Nail Salons is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"825ca8cf-a064-4ee4-8397-03a44d7fa2e8","General Sign Manufacturing (Service)","General Sign Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"8261b8fc-7985-4302-b649-c2016c093d43","Wig & Hairpiece (Service)","Wig & Hairpiece is a personal care service that helps individuals improve appearance or wellbeing through grooming, cosmetic services, or relaxation. It’s commonly used for hair, nails, lashes, skincare, and bodywork services."
"82788674-7f68-4bbc-aa88-4a6bbda18fb1","General Glass and Glazing Contractors (Service)","General Glass and Glazing Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"8663ca43-a008-46a0-98d7-174e5cbc820c","Home Office (Service)","Home Office is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"87942b34-6594-4491-b361-b9f6869deaef","General Other Activities Related to Real Estate (Service)","General Other Activities Related to Real Estate is a real estate service that helps buyers, sellers, and landlords price, market, and transact property with clearer decisions and better outcomes. It’s commonly used for sales, leasing, and property marketing."
"87a77197-75c2-4d15-bdff-7ab1e7a1965b","Accessories","Accessories is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"88022500-603b-42ad-8730-1b231bec942f","General Interior Design Services (Service)","General Interior Design Services is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"89479f50-b9b0-402b-976f-1786449eb9e8","Bedroom","Bedroom is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"958a3700-06b2-4f3b-9d16-bd04ffe4f646","Kitchen Remodeling","Kitchen Remodeling is a design and planning service that helps homeowners, builders, and businesses turn an idea into a space or plan that looks good, fits the budget, and works for how it will be used. It’s commonly used for rooms like living rooms, kitchens, bathrooms, and nurseries."
"978c6db1-df45-4d37-8d05-e475138ddd0a","General Wood Kitchen Cabinet and Countertop Manufacturing (Service)","General Wood Kitchen Cabinet and Countertop Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"97d495af-77ff-4a03-b255-563794e2616e","General Metal Household Furniture Manufacturing (Service)","General Metal Household Furniture Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"9910b8a4-5d6d-4b4e-8b23-106dcb015f1c","General Photography Studios, Portrait","General Photography Studios, Portrait is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"995ec80c-6a6e-4b02-afe2-92581da8fc7b","General Plumbing Fixture Fitting and Trim Manufacturing (Service)","General Plumbing Fixture Fitting and Trim Manufacturing is a fabrication or contract manufacturing service that helps brands, builders, and businesses produce specialized components or finished goods to spec without building their own production capability. It’s commonly used for made‑to‑spec parts, production runs, and finished goods."
"9996391b-498d-4ea0-9e47-8c0685f4eee1","General New Housing For-Sale Builders (Service)","General New Housing For-Sale Builders is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"9a1b2223-0d87-42ca-8802-7b5265038e00","General Structural Steel and Precast Concrete Contractors (Service)","General Structural Steel and Precast Concrete Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
"9aafc9a9-8f61-4b79-94dc-50c009a421bd","Home Gym (Service)","Home Gym is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"9c181107-1c4e-4cc6-ab99-71d6217d593d","Closet & Storage Solutions (Service)","Closet & Storage Solutions is a specialized service that helps people and businesses get a specific outcome delivered by an expert in this category."
"9caf7459-b608-4986-a763-42bb19d645b0","General Cut and Sew Apparel Contractors (Service)","General Cut and Sew Apparel Contractors is a home improvement service that helps homeowners and property managers improve function, durability, and curb appeal across indoor and outdoor spaces. It’s commonly used for remodeling, outdoor builds, repairs, and upgrades."
